trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",20,9,-34.69819325694714,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",20,0,-86.87416136177956,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",30,0,-191.02512825769568,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,0,-180.04332333710695,"{0: 10, 1: 2, 2: 2, 3: 4, 4: 2}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-35.8502230131205,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,0,-100.16022397937839,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-46.02472645510095,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,7,-100.82519305521521,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 2}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,17,-12.546538755653202,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,0,-122.32948051751868,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,0,-70.69423901473162,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",25,0,-49.48312637623113,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",30,15,-30.348376222675782,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,0,-86.02107531742462,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,0,0.23399059128788835,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,-92.84074344056312,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,12,4.907870455755035,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,19,4.364232225973035,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",20,0,-151.27826115591176,"{0: 8, 1: 3, 2: 5, 3: 3, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,17,-41.3469148451709,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,3,-75.8450971208083,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",20,10,-15.876558525439064,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,13,-8.811586370857219,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,9,-47.40841744851265,"{0: 7, 1: 0, 2: 2, 3: 2, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,10,4.506739840404247,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",30,4,-21.9232166863446,"{0: 21, 1: 0, 2: 4, 3: 1, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,2,-10.862005217544143,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,0,-26.875028617386565,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,5,-17.712512155309554,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,1,-39.698331264594025,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",30,6,35.53316465778405,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,3,13.655326682556934,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,11,14.305184728647358,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,0,-4.068224936886759,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,6,-32.3515354090264,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,8,11.50576339541833,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",30,7,5.975184115650619,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,13,12.1270592511838,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,5,18.748589179255504,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,7,18.43013888611833,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,0,-39.050384505794874,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,7,-13.220202590750091,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,0,3.056193225233443,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,0,24.344657599097214,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,0,-86.1923182025465,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",20,0,-72.02185558659747,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",25,10,-50.4431096007493,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
